n,t,x(t),t(n-1),x(t(n-1)),w,r,nr,sim,model,exp
1,0.0,0.0,0.0,0.0,0.0,1.0,1,DLB_with_Q,DLB_with_Q_Model,Experiment
2,1.4253756309505174,1.0,0.0,0.0,1.4253756309505174,1.0,2,DLB_with_Q,DLB_with_Q_Model,Experiment
3,2.0772902235407837,0.0,1.4253756309505174,1.0,0.6519145925902663,1.0,3,DLB_with_Q,DLB_with_Q_Model,Experiment
4,5.256306015197446,1.0,2.0772902235407837,0.0,3.1790157916566626,1.0,4,DLB_with_Q,DLB_with_Q_Model,Experiment
5,6.411919885441495,2.0,5.256306015197446,1.0,1.155613870244049,1.0,5,DLB_with_Q,DLB_with_Q_Model,Experiment
6,6.739410022596901,3.0,6.411919885441495,2.0,0.3274901371554053,1.0,6,DLB_with_Q,DLB_with_Q_Model,Experiment
7,6.844136897222519,4.0,6.739410022596901,3.0,0.10472687462561847,1.0,7,DLB_with_Q,DLB_with_Q_Model,Experiment
8,6.940970556133005,3.0,6.844136897222519,4.0,0.09683365891048545,1.0,8,DLB_with_Q,DLB_with_Q_Model,Experiment
9,7.777728294139897,4.0,6.940970556133005,3.0,0.8367577380068925,1.0,9,DLB_with_Q,DLB_with_Q_Model,Experiment
10,9.222454898281027,5.0,7.777728294139897,4.0,1.4447266041411302,1.0,10,DLB_with_Q,DLB_with_Q_Model,Experiment
11,9.430479353131949,6.0,9.222454898281027,5.0,0.20802445485092136,1.0,11,DLB_with_Q,DLB_with_Q_Model,Experiment
12,9.725263915574752,5.0,9.430479353131949,6.0,0.2947845624428034,1.0,12,DLB_with_Q,DLB_with_Q_Model,Experiment
13,9.786341188074356,4.0,9.725263915574752,5.0,0.06107727249960426,1.0,13,DLB_with_Q,DLB_with_Q_Model,Experiment
14,10.0,4.0,9.786341188074356,4.0,0.21365881192564373,1.0,14,DLB_with_Q,DLB_with_Q_Model,Experiment
15,10.89988087501448,5.0,10.0,4.0,0.89988087501448,1.0,15,DLB_with_Q,DLB_with_Q_Model,Experiment
