n,t,x(t),t(n-1),x(t(n-1)),w,r,nr,sim,model,exp
1,2.0772902235407837,0.6519145925902663,0.0,0.0,1.0,1.0,1,DLB_with_Q,DLB_with_Q_Model,Experiment
2,6.940970556133005,1.6846645409355583,2.0772902235407837,0.6519145925902663,1.0,1.0,2,DLB_with_Q,DLB_with_Q_Model,Experiment
3,9.725263915574752,3.3133440301332566,6.940970556133005,1.6846645409355583,1.0,1.0,3,DLB_with_Q,DLB_with_Q_Model,Experiment
4,9.786341188074356,3.0469311654774556,9.725263915574752,3.3133440301332566,1.0,1.0,4,DLB_with_Q,DLB_with_Q_Model,Experiment
5,11.59500061951666,4.750863722294142,9.786341188074356,3.0469311654774556,1.0,1.0,5,DLB_with_Q,DLB_with_Q_Model,Experiment
6,13.938769686614492,6.161041392474595,11.59500061951666,4.750863722294142,1.0,1.0,6,DLB_with_Q,DLB_with_Q_Model,Experiment
7,14.19097350498057,4.9685186066995435,13.938769686614492,6.161041392474595,1.0,1.0,7,DLB_with_Q,DLB_with_Q_Model,Experiment
8,14.965164845388959,5.53468549225701,14.19097350498057,4.9685186066995435,1.0,1.0,8,DLB_with_Q,DLB_with_Q_Model,Experiment
9,15.166558312445435,4.266677437430955,14.965164845388959,5.53468549225701,1.0,1.0,9,DLB_with_Q,DLB_with_Q_Model,Experiment
10,16.45291654404038,5.264924084215014,15.166558312445435,4.266677437430955,1.0,1.0,10,DLB_with_Q,DLB_with_Q_Model,Experiment
11,16.602252920512537,2.7482428056241694,16.45291654404038,5.264924084215014,1.0,1.0,11,DLB_with_Q,DLB_with_Q_Model,Experiment
12,16.854943970300276,2.768896450947828,16.602252920512537,2.7482428056241694,1.0,1.0,12,DLB_with_Q,DLB_with_Q_Model,Experiment
13,17.107306410318508,2.3934109580193237,16.854943970300276,2.768896450947828,1.0,1.0,13,DLB_with_Q,DLB_with_Q_Model,Experiment
14,18.386392635327425,1.0361240908032308,17.107306410318508,2.3934109580193237,1.0,1.0,14,DLB_with_Q,DLB_with_Q_Model,Experiment
15,18.81353989893554,0.9303989637333849,18.386392635327425,1.0361240908032308,1.0,1.0,15,DLB_with_Q,DLB_with_Q_Model,Experiment
16,18.914298867861753,0.7230696104095671,18.81353989893554,0.9303989637333849,1.0,1.0,16,DLB_with_Q,DLB_with_Q_Model,Experiment
17,2.7545670763858983,0.24684623306922227,0.0,0.0,1.0,2.0,1,DLB_with_Q,DLB_with_Q_Model,Experiment
18,3.3077168975958107,0.1760795908717978,2.7545670763858983,0.24684623306922227,1.0,2.0,2,DLB_with_Q,DLB_with_Q_Model,Experiment
19,3.3812650877139325,0.0993973572629776,3.3077168975958107,0.1760795908717978,1.0,2.0,3,DLB_with_Q,DLB_with_Q_Model,Experiment
20,8.064747007612327,0.8710066252604829,3.3812650877139325,0.0993973572629776,1.0,2.0,4,DLB_with_Q,DLB_with_Q_Model,Experiment
21,8.11173175739092,0.6272405289796197,8.064747007612327,0.8710066252604829,1.0,2.0,5,DLB_with_Q,DLB_with_Q_Model,Experiment
22,8.170172636018659,0.09015579871338808,8.11173175739092,0.6272405289796197,1.0,2.0,6,DLB_with_Q,DLB_with_Q_Model,Experiment
23,8.7460558526575,0.404137012038964,8.170172636018659,0.09015579871338808,1.0,2.0,7,DLB_with_Q,DLB_with_Q_Model,Experiment
24,9.325696943197036,0.8960088172342928,8.7460558526575,0.404137012038964,1.0,2.0,8,DLB_with_Q,DLB_with_Q_Model,Experiment
25,9.519471443017817,0.37419267189578065,9.325696943197036,0.8960088172342928,1.0,2.0,9,DLB_with_Q,DLB_with_Q_Model,Experiment
26,11.063647556188274,0.34986959566927034,9.519471443017817,0.37419267189578065,1.0,2.0,10,DLB_with_Q,DLB_with_Q_Model,Experiment
27,11.604213437655293,0.7821561518836653,11.063647556188274,0.34986959566927034,1.0,2.0,11,DLB_with_Q,DLB_with_Q_Model,Experiment
28,12.248938820998468,0.6816426546208163,11.604213437655293,0.7821561518836653,1.0,2.0,12,DLB_with_Q,DLB_with_Q_Model,Experiment
29,16.055983992049946,0.5053522755350244,12.248938820998468,0.6816426546208163,1.0,2.0,13,DLB_with_Q,DLB_with_Q_Model,Experiment
30,17.292045630981352,1.4245740277593715,16.055983992049946,0.5053522755350244,1.0,2.0,14,DLB_with_Q,DLB_with_Q_Model,Experiment
31,17.45592405047531,0.4859923355384552,17.292045630981352,1.4245740277593715,1.0,2.0,15,DLB_with_Q,DLB_with_Q_Model,Experiment
32,18.201041074144882,0.5588421711029987,17.45592405047531,0.4859923355384552,1.0,2.0,16,DLB_with_Q,DLB_with_Q_Model,Experiment
33,18.261669851300915,0.6191714044812713,18.201041074144882,0.5588421711029987,1.0,2.0,17,DLB_with_Q,DLB_with_Q_Model,Experiment
34,18.748331688970328,0.8183238710485199,18.261669851300915,0.6191714044812713,1.0,2.0,18,DLB_with_Q,DLB_with_Q_Model,Experiment
35,19.307491381764414,1.3352663209665252,18.748331688970328,0.8183238710485199,1.0,2.0,19,DLB_with_Q,DLB_with_Q_Model,Experiment
36,19.346039337589747,1.0298957517780174,19.307491381764414,1.3352663209665252,1.0,2.0,20,DLB_with_Q,DLB_with_Q_Model,Experiment
